stock,Random Forest,XGBoost,Log Regression,Score,bal,repair,npay,pct,yr,odo,mk_toyota,jointincome,netincome
190970,1.0,0.0,0.0,1.0,5824.46,993.64,84,24.9,2007.0,119564.0,0,0,2220
180345,1.0,0.0,0.0,1.0,8019.05,437.98,99,29.0,2010.0,134177.0,0,0,0
171366,1.0,0.0,0.0,1.0,5208.79,238.3,101,19.0,2011.0,127539.0,0,0,0
180727,1.0,0.0,0.0,1.0,6884.69,370.0,88,21.9,2015.0,150280.0,0,0,0
180738,1.0,0.0,0.0,1.0,8536.17,736.68,100,29.0,2008.0,114421.0,0,1672,0
181272,1.0,0.0,0.0,1.0,7162.74,940.35,109,21.9,2009.0,107518.0,1,0,0
200852a,1.0,0.0,0.0,1.0,7459.1,430.0,107,21.9,2013.0,137996.0,0,0,0
200979,1.0,0.0,0.0,1.0,8479.89,2003.11,107,19.9,2016.0,82257.0,0,2200,1650
201229,1.0,0.0,0.0,1.0,8379.35,1879.09,95,24.9,2014.0,100738.0,0,1636,0
180576,1.0,0.0,0.0,1.0,7382.97,866.46,109,19.9,2008.0,116249.0,0,0,1500
200835,1.0,0.0,0.0,1.0,5616.13,364.99,124,9.9,2014.0,65142.0,0,0,11911
200778a,1.0,0.0,0.0,1.0,8467.4,772.85,103,24.9,2014.0,79889.0,0,0,0
180709,1.0,0.0,0.0,1.0,4889.28,1466.05,90,24.9,2007.0,83823.0,0,0,674
201424,1.0,0.0,0.0,1.0,6062.18,390.7,90,24.9,2009.0,114924.0,1,2400,0
180562,1.0,0.0,0.0,1.0,6673.74,1794.91,94,24.9,2011.0,108236.0,0,0,0
201713,1.0,0.0,0.0,1.0,8845.9,1848.08,102,21.9,2011.0,138077.0,0,0,0
200693,1.0,0.0,0.0,1.0,9106.97,1166.37,110,21.9,2015.0,78384.0,0,0,0
202062,1.0,0.0,0.0,1.0,9183.62,909.7,100,19.9,2016.0,62944.0,0,2034,1908
200432,1.0,0.0,0.0,1.0,13190.55,3240.7,122,20.9,2012.0,108274.0,0,0,0
202182,1.0,0.0,0.0,1.0,11621.84,596.69,134,18.9,2013.0,95683.0,0,0,1150
201998,1.0,0.0,0.0,1.0,10710.27,1155.78,122,21.9,2013.0,126282.0,0,0,0
200712a,1.0,0.0,0.0,1.0,8961.45,0.0,107,24.9,2014.0,123438.0,0,1600,1430
201055,1.0,0.0,0.0,1.0,7561.68,3800.88,101,24.9,2009.0,144548.0,0,2716,0
200633,1.0,0.0,0.0,1.0,10918.03,1646.32,117,24.9,2014.0,86749.0,0,0,0
201514,1.0,0.0,0.0,1.0,11419.87,880.09,129,24.9,2016.0,64478.0,0,0,0
201987,1.0,0.0,0.0,1.0,6656.55,1994.84,96,24.9,2011.0,100714.0,0,2000,0
201779,1.0,0.0,0.0,1.0,11127.49,4307.23,112,24.9,2011.0,123608.0,0,0,0
201894,1.0,0.0,0.0,1.0,11050.25,0.0,116,24.9,2015.0,113398.0,0,0,0
201440,1.0,0.0,0.0,1.0,12411.62,1105.7,144,17.9,2015.0,79917.0,0,700,0
201524,1.0,0.0,0.0,1.0,10935.28,742.35,121,24.9,2017.0,147372.0,0,0,0
190571,1.0,0.0,0.0,1.0,7443.29,4657.99,95,24.9,2009.0,141032.0,0,0,0
